SMILES,Name
COC(=O)c1ccc(S(N)(=O)=O)cc1Br,MOL0001
COC(=O)c1ccc(S(N)(=O)=O)cc1C,MOL0002
CCc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0003
COC(=O)c1ccc(S(N)(=O)=O)cc1C(C)C,MOL0004
CCCCOc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0005
C=CCOc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0006
COC(=O)c1ccc(S(N)(=O)=O)cc1OC(C)C,MOL0007
CCCOc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0008
CCC(=O)Nc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0009
CCOc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0010
COC(=O)c1ccc(S(N)(=O)=O)cc1NC(C)=O,MOL0011
COC(=O)c1ccc(S(N)(=O)=O)cc1OC(C)=O,MOL0012
COC(=O)c1ccc(S(N)(=O)=O)cc1Cl,MOL0013
COC(=O)c1ccc(S(N)(=O)=O)cc1OC,MOL0014
COC(=O)c1ccc(S(N)(=O)=O)cc1C(=O)OC,MOL0015
COCOc1cc(S(N)(=O)=O)ccc1C(=O)OC,MOL0016
COC(=O)c1ccc(S(N)(=O)=O)cc1NS(C)(=O)=O,MOL0017
COC(=O)c1ccc(S(N)(=O)=O)cc1F,MOL0018
COC(=O)c1ccc(S(N)(=O)=O)cc1C(F)(F)F,MOL0019
COC(=O)c1ccc(S(N)(=O)=O)cc1I,MOL0020
COC(=O)c1ccc(S(N)(=O)=O)cc1N,MOL0021
COC(=O)c1ccc(S(N)(=O)=O)cc1C#N,MOL0022
COC(=O)c1ccc(S(N)(=O)=O)cc1CSC(=N)N,MOL0023
COC(=O)c1ccc(S(N)(=O)=O)cc1C(N)=O,MOL0024
COC(=O)c1ccc(S(N)(=O)=O)cc1O,MOL0025
COC(=O)c1ccc(S(N)(=O)=O)cc1C(=O)O,MOL0026
COC(=O)c1ccc(S(N)(=O)=O)cc1CC(=O)O,MOL0027
COC(=O)c1ccc(S(N)(=O)=O)cc1[N+](=O)[O-],MOL0028
COC(=O)c1ccc(S(N)(=O)=O)c(Br)c1,MOL0029
COC(=O)c1ccc(S(N)(=O)=O)c(C)c1,MOL0030
CCCOc1cc(C(=O)OC)ccc1S(N)(=O)=O,MOL0031
CCOc1cc(C(=O)OC)ccc1S(N)(=O)=O,MOL0032
COC(=O)c1ccc(S(N)(=O)=O)c(OC(C)=O)c1,MOL0033
COC(=O)c1ccc(S(N)(=O)=O)c(SC(C)=O)c1,MOL0034
COC(=O)c1ccc(S(N)(=O)=O)c(Cl)c1,MOL0035
COC(=O)c1ccc(S(N)(=O)=O)c(OC)c1,MOL0036
COC(=O)c1ccc(S(N)(=O)=O)c(F)c1,MOL0037
COC(=O)c1ccc(S(N)(=O)=O)c(C(F)(F)F)c1,MOL0038
COC(=O)c1ccc(S(N)(=O)=O)c(N)c1,MOL0039
COC(=O)c1ccc(S(N)(=O)=O)c(C#N)c1,MOL0040
COC(=O)c1ccc(S(N)(=O)=O)c(O)c1,MOL0041
COC(=O)c1ccc(S(N)(=O)=O)c([N+](=O)[O-])c1,MOL0042
COC(=O)c1ccc(S(N)(=O)=O)c(S)c1,MOL0043
